compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
AZD3463 0.5uM,22.62,14.21,0,97.19,100,100,0.84,100,98.9,99.33,97.4,84.09,2.67,100,64.84,84.97,83.8,16,44.16,91.6,94.9,9.28,80.94,91.1,67.66,56.3,79.5,92.69,48.12,67.04,87.22,52.65,73.38,15.3,45.83,19.14,63.49,89.32,46.67,13.1,91.87,95.32,97.9,95.63,97.03,79.33,77.88,91.14,92.06,88.22,94.06,66.54,99.45,94.4,13.64,8.97,99.05,97.16,100,99.62,93.86,96.28,11.2,48.93,3.23,29.38,89.66,10,100,67.84,99,30.04,80.79,65.51,95.72,100,68.06,6.63,3.27,16.48,35.75,92.69,18.19,61.75,98.93,100,92.33,99.29,69.19,31.11,94.15,61.17,100,97.5,85.3,36.28,15.3,96.52,80.74,1.42,0.64,0.99,10.25,12.21,15.75,14.6,48.8,9.73,1.35,1.97,41.12,20.46,72.11,88.68,96.96,100,95.11,96.14,83.69,84.46,91,100,97.8,53.43,6.79,60.35,100,83.7,16.82,1.07,79.83,80.19,61.56,0.42,25.49,46.99,3.83,77.14,29.74,11.91,18.8,6.45,9.82,33.06,15.22,90.87,61.78,88.02,98.42,26.91,0,39.09,62.37,97.27,100,100,27.46,13.73,19,15.85,62.66,30.34,98.09,89.3,9.79,12.31,59.99,33.34,87.72,3.38,35.95,14.01,16.68,15.16,100,98.43,88.87,90.69,86.06,88.88,100,93.58,100,20.93,0,91.25,94.5,74.78,100,90.8,78.01,65.9,15,97.99,91.83,96.55,100,100,99.57,86.8,54.19,60.22,73.11,70.55,75.49,48.86,94.07,70.47,94.66,37.3,28.87,94.61,3.76,13.53,58.14,100,41.54,80.88,87.18,85.28,100,85.18,88,95.28,97,84.68,97.28,2.71,4.85,95.29,100,1.89,66.33,64.67,88.72,81.17,95.49,24.67,94.25,27.89,73.12,5.79,100,8.67,70.03,68.13,65.65,69.03,93,0,16.4,8.86,4.16,14.94,92.65,94.99,100,3.5,38.46,4.4,22.17,84.74,75.47,33.45,3.48,94.86,11.42,91.1,82.57,45.64,55.41,90.08,93.21,91.37,33.04,95.02,90.22,21.46,100,35.07,40.58,37.42,54.9,61.73,6.94,43.74,75.51,7.09,47.46,21.06,80.32,95.68,94.77,73.35,24.84,92.73,80.1,22.53,63.24
BMS-794833 0.5uM,88.52,87.45,95.72,99.74,99.44,93.95,84.44,91.67,88.14,92.18,93.51,78.19,95.32,99,100,57.7,94.34,4.52,68.89,72.95,81.38,32.72,100,99.23,88.9,52.07,1.55,3.94,77.57,98.47,98.91,94.34,91.84,100,97.84,100,100,89.19,87.75,77.18,94.75,93.2,93.63,96.26,100,93.85,100,93.53,100,97.86,90.33,100,100,95.46,87.01,96.77,96.52,88.49,100,94.46,95.84,96.85,90.66,96.55,100,97.29,100,94.97,100,91.64,90.87,100,100,100,4.17,100,99.16,100,96.8,97.6,99.73,100,93.09,89.15,49.36,70.17,61.23,61.5,26.08,25.22,77.09,61,71.64,54.03,63.46,96.3,98.72,98.96,99.23,93.07,85.89,84.96,98.29,79.93,100,91.27,44.64,71.93,11.46,69.99,72.74,72.29,80.24,91.03,99.61,100,100,100,99.52,98.38,98.1,100,100,83.89,100,99.96,100,100,1.78,95.81,100,99.72,90.26,100,75.61,98.61,90.29,100,100,96.08,100,100,95.17,100,38.72,22.63,27.57,77.64,100,54.33,98.11,75.13,86.28,95.42,100,94.45,96.32,95.67,100,100,59.23,12.38,83.2,97.09,96.64,100,100,98.34,67.86,30.03,30.77,30.24,20.66,7.99,100,97.85,100,98.01,80.7,93.14,100,100,92.15,99.78,100,83.05,94.22,100,95.5,100,100,100,100,91.72,97.5,55.29,81.07,84.87,77.91,98.02,100,100,100,98.02,98.06,95.97,100,96.02,96.21,80.6,84.83,100,94.65,96.52,99.66,100,99,96.61,100,99.12,97.35,100,95.29,100,98.71,97.43,95.71,89.62,90.12,83.37,99.09,89.15,90.8,82.26,100,90.76,83.81,94.99,95,93.63,99.02,82.76,40.62,30.63,69.26,100,94.84,95.18,9.41,51.65,97.44,97.41,100,100,98.55,98.86,100,100,91.12,94.26,100,100,100,100,100,100,98.17,92.92,88.57,96.48,50.48,57.86,28.25,60.42,96.52,94.31,100,30,97.14,2.22,3.17,1.32,95.57,87.76,97.31,100,30.51,90.39,96.76,94.84,100,100,99.28,98.92,83.09,63.83,94.19,100,63.06
Bosutinib 0.5uM,1.8,2.19,3.54,94.41,100,90.66,65.99,67.65,93.27,100,99.05,100,11.43,95.7,86.04,83.15,82.1,37.63,20.73,14.48,91.75,93.08,97.53,94.2,5.69,93.64,28.92,84.5,6.05,68.94,100,16.57,82.66,92.7,86.25,94.59,100,90.66,84.79,85.13,96.94,95.9,91.11,98.28,91.95,97.06,100,95.85,98.33,99.4,100,100,100,86.97,38.9,21.7,49.52,10.86,11.44,95.69,98.25,98.29,100,100,81.01,69.3,94.93,76.63,100,12.33,100,100,82.86,98.39,100,98.73,100,99.39,97.05,100,91.76,97.93,3.84,97.72,9.58,31.66,27.01,37.14,4.38,77.15,10.52,11.8,17.43,49.42,12.48,32.95,1.53,98.9,93.66,95.96,54.64,35.71,64.42,58.1,82.57,94.06,11.49,44.54,30.26,44.1,43.09,29.2,29.42,3.16,97.31,99.17,92.4,100,99.5,100,100,99.88,65.6,11.88,1.03,96.28,89.05,93.5,74.57,91.55,98.1,95.36,75.45,69.81,91.27,63.15,36.9,100,98.99,97.42,88.5,100,100,100,65.28,1.72,1.88,96.41,98.07,12.61,30.12,2.13,6,94.74,98.22,94.74,100,99.92,65.36,60.56,65.35,8.43,23.47,11.8,25.8,1.21,93.44,72.04,32.05,16.48,22.88,13.47,96.92,98.7,100,88.17,90.78,100,100,7.4,13.86,11.02,5.9,81.66,40.28,15.17,93.98,8.56,85.88,32.6,85.32,94.61,94.04,100,100,88.59,100,91.24,99.94,87.67,100,11.68,69.37,9.9,95.78,83.64,100,100,100,86.95,74.83,89.8,52.08,100,99.16,100,97.69,73.81,99.22,49.46,99.82,88.37,40.27,78.02,100,93.64,99.38,43.71,42.25,71.53,89.75,35.54,85.45,94.88,100,74.18,100,93.81,100,98.49,100,32.56,100,18.94,100,100,100,85.02,85.41,95.39,80.42,80.14,44.2,62.05,100,100,94.38,1.93,21.59,59.47,90.65,98.45,100,85.12,79.24,10.1,63.55,85.07,93.6,21.1,28.29,52.78,65.41,71.33,65.68,96.11,95.73,82.65,92.16,100,69.15,15.25,83.89,27.53,57.74,98.13,47.75,79.11,92.25,100,100,40.47,94.23,91.81,7.29,67.65,100,100,73.10404
Casein Kinase I Inhibitor (D4476) 0.5uM,96.65,99.1,100,100,95.95,100,100,100,85.73,100,100,100,93.39,100,100,100,87.81,95.14,97.59,100,96.84,91.28,93.93,98.76,91.63,100,92.68,88.27,91.11,96.95,100,98.99,96.62,100,100,95.23,97.42,100,100,100,97.14,83.88,95.05,93.46,99.37,83.99,94.13,90.96,97.97,100,100,97.58,97.13,96.76,100,94.98,37.07,40.88,46.91,100,90.22,91.8,100,95.87,100,100,100,100,100,100,91.38,97.6,91.88,95.51,95.03,99.92,98.16,100,100,100,99.36,85.6,100,100,96.59,94.44,92.53,89.69,100,96.53,100,91.02,97.59,91.8,88.04,97.94,100,100,100,100,93.25,98.39,94.48,99.38,100,91.12,96.75,89.38,88.7,100,97.97,100,97.82,92.63,98.88,96.53,100,100,100,100,100,98.91,86.03,100,78.56,100,89.81,96.51,100,90.14,89.73,100,99.71,96.33,96.61,100,86.6,100,98.06,100,100,97.42,100,99.91,95.99,95.08,100,100,90.89,93.05,100,99.89,100,100,96.17,69.56,98.58,97.14,100,100,95.27,100,98.79,100,94.99,97.11,100,99.23,95.89,100,94.43,95.96,100,92.25,99.29,100,97.39,97.71,98.47,100,90.6,90.43,88.31,92.54,100,98.46,100,100,95.02,98.17,100,98.48,94.71,100,92.72,91.93,95.39,99.54,100,100,100,95.02,100,96.69,100,98.83,98.19,92.63,100,95.83,99.29,94.75,87.15,97.34,97.1,100,96.94,100,100,83.06,100,95.2,100,93.08,83.26,93.17,100,96.31,85.11,89.73,100,83.42,95.02,94.67,81.11,98.81,100,95.63,96.56,95.9,99.47,100,91.74,97.01,48.34,93.14,98.14,93.15,100,100,100,88.82,88.46,100,100,98.65,98.1,100,96.25,100,89.16,95.5,95.32,100,100,91.33,98.27,100,100,99.87,100,95.4,100,100,90.44,95.81,89.32,97.86,100,90.71,100,94.96,100,99.19,93.47,100,100,100,90.91,100,92.55,100,93.54,100,94.07,96.4,100,99.56,97.19064
Cdk1/2 Inhibitor III 0.5uM,4.96,10.52,6.41,100,100,96.41,16.69,15.06,60.36,92.15,81.76,100,2.13,1.12,1.44,12.91,16.21,34.18,38.62,77.51,87.21,34.84,2.61,9.03,84.12,78.44,14.79,40.43,41.55,100,89.08,93.42,95.87,14.28,9.5,15.59,15.6,98.79,35.99,5.4,0,0,1.56,8.92,0,87.75,3.67,0.16,11.3,2.89,7.69,43.56,7.46,15.59,100,1.96,90.16,83.7,91.76,16.71,14.81,20.81,76.55,81.92,2.26,3.81,4.64,1.92,100,76.78,100,81.29,83.04,40.44,100,78.38,11.14,15.25,14.08,60.39,98.52,96.5,95.15,37.4,29.92,85.87,54.79,56.75,100,14.23,98.47,19.41,81.4,90.43,50.97,100,97.96,78.89,76.24,25.31,21.66,10.17,6.59,7.43,4.96,32.19,17.1,11.41,1.07,3.75,10.58,70.63,24.77,2.13,97.77,88,92.22,75.61,89.37,96.58,6.3,9.03,85.35,37.94,4.46,100,62.07,78.15,50.59,0.62,54.36,49.27,67.17,88.41,16.89,19.65,86.54,61.02,4.86,3.16,5.21,78.76,80.93,100,6.55,1.71,23.57,0,23.52,3.96,1.33,27.23,56.07,91.13,89.61,52.2,2.68,3.43,0.29,2.33,94.61,96.59,0,5.41,32.74,3.06,62.74,78.84,66.62,0,3,1.33,23.35,17.21,54.62,48.1,68.09,42.76,48.65,2.16,1.33,2.88,4.54,8.02,100,6.11,100,98.28,19.56,60.54,78.81,82.63,39.07,45.1,67.56,95.42,78.46,77.1,95.22,30.05,96.15,28.96,26.42,35.4,47.62,43.78,81.91,91.75,100,56.38,45.58,19.31,26.02,95.54,90.69,100,89.09,78.23,100,46.22,75.21,74.46,22.2,11.55,45.74,92.98,78.86,7.79,7.37,15.14,83.71,9.05,91.3,85.09,61.45,9.7,19.1,92.06,88.49,92.17,76.27,33.61,100,3.09,19.69,17.82,0.17,6.22,56.03,1.68,5.34,0,2.08,2.42,48.66,42.01,98.4,16.09,4.58,9.73,93.96,25.9,17.1,42.48,13.7,8.18,35.12,100,76.55,15.54,12.46,11.3,11.45,10,10.26,100,89.25,5.06,100,31.75,11.82,3.59,91.33,85.84,27.62,5.11,29.78,5.03,4.73,100,94.6,100,97.91,82.15,10.54,49.14,86.91,94.2,38.56406
Control,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dasatinib 0.5uM,2.15,2.1,2.495,96.9,97.05,94.955,98.005,15.365,98.395,72.995,57.89,27.205,96.295,91.385,84.25,92.08,91.805,73.655,1.74,1.375,40.78,2.57,96.85,97.175,1.34,7.98,93.765,88.41,2.27,99.41,98.465,98.98,95.725,99.255,96.285,97,100,91.875,99.725,96.145,95.685,94.665,91.565,96.15,91.235,94.285,98.56,98.425,98.055,94.33,97.815,100,100,89.41,90.85,95.715,97.82,91.04,92.58,93.28,98.62,95.185,97.525,96.475,100,93.59,96.56,90.71,96.865,3.555,85.26,96.265,95.61,98.615,1.555,100,99.92,99.185,99.195,98.205,99.05,99.5,18.92,2.32,3.555,2.135,1.06,0.975,55.69,95.465,2.445,2.4,0.235,0.79,0.795,74.855,4.425,98.78,95.905,99.985,93.175,95.73,87.895,67.3,87.4,92.335,1.185,98.645,72.15,96.04,0.92,0.37,1.33,80.23,98.48,98.875,93.57,97.535,99.46,97.04,100,98.465,95.535,0.85,48.62,99.74,97.09,100,98.07,95.64,97.525,95.735,89.68,96.175,98.24,92.855,93.535,99.75,100,85.67,90.685,99.575,100,100,95.695,3.19,0.74,16.375,100,52.51,90.74,0.215,0.8,97.305,99.595,97.47,96.585,94.785,95.79,90.12,93.05,82.21,94.105,92.04,89.62,47.66,97.575,95.695,93.295,78.03,88.445,73.415,95.485,96.37,99.61,96.865,95.29,98.525,93.425,93.725,95.325,95.35,79.81,100,92.41,88.43,39.36,98.585,97.05,91.74,87.76,95.495,99.15,28.01,96.195,30.375,65.03,99.63,99.94,99.13,100,98.87,100,97.175,96.475,94.815,100,96.765,95.93,3.805,2.695,95.43,93.135,100,99.265,100,98.13,99.115,98.49,96.85,95.58,86.48,98.1,98.25,99.665,92.715,98.435,96.67,91.46,91.505,95.465,92.75,87.95,94.01,100,89.905,95.705,96.13,98.225,96.885,97.875,94.31,30.405,44.475,35.46,99.675,98.58,91.955,100,93.805,95.925,95.3,91.27,100,99.475,100,98.96,3.05,82.765,96.515,14.715,100,100,98.45,96.385,83.48,91.805,95.31,93.12,65.67,93.105,98.045,87.995,95.95,89.115,5.825,96.02,91.425,97.2,98.595,92.835,65.705,95.945,0.955,95.925,92.65,84.735,92.745,95.39,96.17,92.71,91.83,80.15,87.415,0.97,6.78,96.6,100,54.73481
"Dovitinib (TKI-258, CHIR-258) 0.5uM",24.01,24.26,83.12,98.49,100,88.04,80.51,100,100,98.78,99.28,100,3.13,98.45,60.63,26.95,82.35,44.35,12.26,70.11,100,96.39,59.8,59.42,37.34,9.89,91.95,84.4,15.98,85.77,100,100,100,53.95,85.6,56.88,97.57,91.72,48.51,85.92,93.59,90.92,91.04,92.29,92.27,79.46,89.63,97.28,99.63,74.58,31.92,100,91.13,97.66,30.81,84.45,95.11,79.3,94.09,96.43,91.36,94.63,100,85.55,67.82,38.61,100,52.16,100,88.36,74.92,100,82.29,94.11,100,100,67.98,96.52,87.95,100,100,98.15,97.24,90.56,76.87,88.05,93.36,99.11,44.62,76.54,100,58.15,86.06,51.93,73.45,100,95.22,99.62,82.39,95.3,94.57,91.86,18.21,21.99,12.39,59.62,6.34,26.24,2.97,11.3,21.46,56.05,22.51,49.39,98.13,97.48,94.16,100,100,95.24,100,98.56,75,29.94,2.96,95.71,81.48,95.61,96.29,89.77,88.1,87.77,42.88,84,65.08,31.76,67.12,70.9,92.06,92.02,83.88,100,100,100,31.47,3.26,4.75,88.28,100,41.57,24.5,9.15,12.72,96.89,99.31,93.86,34.76,47.44,36.5,25.51,88.71,43.05,66.17,46.49,7.72,1.65,82.58,76.57,5.92,52.42,91.44,26.36,88.74,89.62,97.02,99.16,81.08,72.07,100,10.01,34.36,44.46,100,63.16,79.68,64.34,93.59,100,88.15,83.55,84.47,91.08,58.87,100,98.72,94,100,90.42,100,77.32,100,100,96.94,100,92.96,82.71,100,100,100,12.61,17.23,87.98,30.38,87.64,99.19,100,95.63,100,100,83.83,99.21,92.02,90.91,100,100,86.91,100,69,60.22,97.57,80.99,66.2,81.18,84.49,99.03,15.54,98.53,96.87,100,100,100,84.31,100,2.45,92.98,98.38,100,79.34,95.36,95.46,22.25,34.34,13.05,16.12,88.24,89.84,98.42,25.46,68.06,60.22,94.42,97.54,99.93,46.26,54.43,86.03,60.75,97.05,92.32,65.37,19.34,98.35,97.4,84.17,38.5,91.01,100,81.32,89.33,4.57,5.72,1.45,80.57,75.1,92.48,59.4,23.77,20.43,45.68,65.97,98.51,92.02,99.88,96.07,6.3,91.52,100,100,62.91
EGFR/ErbB2/ErbB4 Inhibitor 0.5uM,97.78,89.37,95.13,98.15,100,97.83,100,100,100,100,98.66,74.09,98.07,98.85,96.54,100,95.91,100,21.32,2.54,82.06,56.79,100,93.26,2.88,98.48,84.53,96.27,97.72,97.93,99.43,100,99.2,100,99.55,100,97.65,97.39,100,100,96.49,99.47,97.75,98.14,96.85,98.6,100,99.21,97.89,98.98,100,100,98.36,90.58,100,98.84,100,99.26,93.55,95.47,94.86,100,90.88,96.54,82.54,100,47.13,90.42,94.24,100,95.82,94.65,100,100,100,100,92.88,96.41,100,91.28,100,98.02,1.16,88.27,100,99.82,94.63,100,100,91.26,100,92.04,80.9,85.39,83.43,2.36,1.95,100,100,100,98.24,99.43,91.07,100,100,100,89.58,100,92.08,92.77,100,100,95.85,100,98.27,100,100,100,100,100,100,93.02,100,92.22,100,100,100,92.93,99.72,100,92.11,100,98.94,99.61,100,100,100,76.28,100,97.43,0,98.9,91.81,85.43,98.21,100,92.16,84.17,99.63,72.61,92.25,88.34,96.13,100,100,96.26,98.17,100,100,100,95.31,100,100,100,100,91.89,100,98.83,99.92,95.78,98.89,99.3,89.53,66.02,93.14,96.42,100,100,100,98.69,100,100,100,79.56,100,100,86.65,100,76.18,85.82,97.52,98.18,100,99.71,100,100,96.17,100,99.38,97.09,97.19,94.53,100,99.04,100,100,96.92,100,99.94,94.89,100,99.56,100,99.02,98.55,100,89.1,97.68,100,100,97.4,99.5,99.79,88.29,90.45,97.2,96.59,98.71,100,89.35,100,97.56,97.61,91.68,100,100,95.01,99.35,100,100,100,94.09,85.58,84.31,38.69,91.13,96.25,98.74,100,91.25,95.09,97.53,100,95.34,95.58,98.31,100,81.34,93.6,95.35,96.11,94.85,69.17,100,100,97.13,88.52,100,91.29,95.4,100,100,100,100,100,52.07,100,99.67,100,98.46,100,95.3,99.95,1.66,92.96,100,99.96,96.59,96.67,100,87.81,93.18,100,95.1,82.27,85.78,90.36,97.85,100
Erlotinib HCl 0.5uM,52.29,32.98,66.55,93.67,100,74.61,86.68,100,100,100,99.08,99.63,97.98,100,75.29,74.71,88.21,72.54,79.39,100,93.54,85.92,95.32,100,86.16,98.1,99.04,71.43,77.43,98.89,100,98.83,100,97.62,93.08,95.05,100,94.8,98.73,97.13,99.62,97.15,95.88,96.46,95.59,95.95,100,90.53,100,98.72,100,100,100,87.29,95.14,100,98.59,86.86,98.16,100,98.3,100,78.93,99.64,100,93.39,100,100,91.78,100,77.19,100,92.49,100,100,96.89,99.69,100,93.72,84.98,83.49,100,4.21,94.48,91.28,93.22,98.37,99.15,40.44,69.8,89.66,100,95.07,57.99,79.21,52.81,61.41,100,100,100,93.95,100,99.12,83.41,87.56,93.27,77.58,87.53,40.67,73.51,100,100,94.67,100,92.89,94.78,89.63,100,99.25,98.34,99.25,100,80.9,74.64,76.48,97.96,99.26,100,100,91.56,94.17,83.5,87.57,100,95.9,93.82,100,100,91.22,99.13,91.28,95.47,98.4,99.6,80.27,95.58,66.13,90.44,100,20.32,62.27,72.5,75.4,96.24,98.12,89.74,100,100,96.39,100,100,100,100,100,88.6,85.68,94.22,84.72,100,100,100,100,58.25,68.54,88.49,98.48,96.85,96.05,100,97.42,94.91,100,100,94.63,84.36,73.78,100,100,95.58,100,89.1,97.44,99.46,100,100,95.3,97.79,95.04,97.83,95.15,100,100,99.12,100,91.82,97.33,100,97.45,100,84.39,91.09,83.82,93.16,97.92,96.99,97.9,81.43,93.35,100,88.63,92.4,98.61,100,98.5,100,84.09,99.02,94.77,86.54,77.15,92.33,85.89,85.63,93.51,100,100,100,100,100,100,100,97.55,93.72,48.57,57.86,100,100,90.96,93.62,99.57,97.59,100,100,99.12,100,100,100,86.42,41.98,95.31,93.2,98.02,100,98.04,78.87,99.45,90.8,100,96.97,100,88.83,98.34,100,100,73.03,96.22,91.83,94.03,85.95,100,93.08,95.99,87.63,88.47,66.26,99.6,97.04,100,98.7,100,100,95.23,100,100,68.27,92.16,94.44,95.39,100
